,Kernel Version,Subsystem,File,Callee,Caller,Caller Type
0,v5.2,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
1,v5.2,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
2,v5.2,kernel,nsproxy.c,switch_task_namespaces,setns,function
3,v5.2,drivers/base,devtmpfs.c,ksys_unshare,devtmpfsd,function
4,v5.2,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
5,v5.2,kernel,fork.c,ksys_unshare,unshare,function
6,v5.2,kernel,exit.c,exit_task_namespaces,do_exit,function
7,v5.2,kernel,fork.c,exit_task_namespaces,copy_process,function
8,v5.2,arch/x86/kvm,emulate.c,setns,FOP_SETCC,function
9,v5.2,kernel,nsproxy.c,setns,setns,function
10,v5.2,tools/build/feature,test-setns.c,setns,main,function
11,v5.2,tools/perf/util,namespaces.c,setns,nsinfo__mountns_enter,function
12,v5.2,tools/perf/util,namespaces.c,setns,nsinfo__mountns_exit,function
13,v5.2,tools/testing/selftests/proc,setns-dcache.c,setns,main,function
14,v5.3,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
15,v5.3,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
16,v5.3,kernel,nsproxy.c,switch_task_namespaces,setns,function
17,v5.3,drivers/base,devtmpfs.c,ksys_unshare,devtmpfsd,function
18,v5.3,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
19,v5.3,kernel,fork.c,ksys_unshare,unshare,function
20,v5.3,kernel,exit.c,exit_task_namespaces,do_exit,function
21,v5.3,kernel,fork.c,exit_task_namespaces,copy_process,function
22,v5.3,arch/x86/kvm,emulate.c,setns,FOP_SETCC,function
23,v5.3,kernel,nsproxy.c,setns,setns,function
24,v5.3,tools/build/feature,test-setns.c,setns,main,function
25,v5.3,tools/perf/util,namespaces.c,setns,nsinfo__mountns_enter,function
26,v5.3,tools/perf/util,namespaces.c,setns,nsinfo__mountns_exit,function
27,v5.3,tools/testing/selftests/proc,setns-dcache.c,setns,main,function
28,v5.3,tools/testing/selftests/proc,setns-sysvipc.c,setns,main,function
29,v5.4,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
30,v5.4,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
31,v5.4,kernel,nsproxy.c,switch_task_namespaces,setns,function
32,v5.4,drivers/base,devtmpfs.c,ksys_unshare,devtmpfsd,function
33,v5.4,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
34,v5.4,kernel,fork.c,ksys_unshare,unshare,function
35,v5.4,kernel,exit.c,exit_task_namespaces,do_exit,function
36,v5.4,kernel,fork.c,exit_task_namespaces,copy_process,function
37,v5.4,arch/x86/kvm,emulate.c,setns,FOP_SETCC,function
38,v5.4,kernel,nsproxy.c,setns,setns,function
39,v5.4,tools/build/feature,test-setns.c,setns,main,function
40,v5.4,tools/perf/util,namespaces.c,setns,nsinfo__mountns_enter,function
41,v5.4,tools/perf/util,namespaces.c,setns,nsinfo__mountns_exit,function
42,v5.4,tools/testing/selftests/proc,setns-dcache.c,setns,main,function
43,v5.4,tools/testing/selftests/proc,setns-sysvipc.c,setns,main,function
44,v5.5,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
45,v5.5,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
46,v5.5,kernel,nsproxy.c,switch_task_namespaces,setns,function
47,v5.5,drivers/base,devtmpfs.c,ksys_unshare,devtmpfsd,function
48,v5.5,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
49,v5.5,kernel,fork.c,ksys_unshare,unshare,function
50,v5.5,kernel,exit.c,exit_task_namespaces,do_exit,function
51,v5.5,kernel,fork.c,exit_task_namespaces,copy_process,function
52,v5.5,arch/x86/kvm,emulate.c,setns,FOP_SETCC,function
53,v5.5,kernel,nsproxy.c,setns,setns,function
54,v5.5,tools/build/feature,test-setns.c,setns,main,function
55,v5.5,tools/perf/util,namespaces.c,setns,nsinfo__mountns_enter,function
56,v5.5,tools/perf/util,namespaces.c,setns,nsinfo__mountns_exit,function
57,v5.5,tools/testing/selftests/bpf/prog_tests,flow_dissector_reattach.c,setns,test_flow_dissector_reattach,function
58,v5.5,tools/testing/selftests/bpf/prog_tests,flow_dissector_reattach.c,setns,test_flow_dissector_reattach,function
59,v5.5,tools/testing/selftests/proc,setns-dcache.c,setns,main,function
60,v5.5,tools/testing/selftests/proc,setns-sysvipc.c,setns,main,function
61,v5.6,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
62,v5.6,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
63,v5.6,kernel,nsproxy.c,switch_task_namespaces,setns,function
64,v5.6,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
65,v5.6,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
66,v5.6,kernel,fork.c,ksys_unshare,unshare,function
67,v5.6,kernel,exit.c,exit_task_namespaces,do_exit,function
68,v5.6,kernel,fork.c,exit_task_namespaces,copy_process,function
69,v5.6,arch/x86/kvm,emulate.c,setns,FOP_SETCC,function
70,v5.6,kernel,nsproxy.c,setns,setns,function
71,v5.6,tools/build/feature,test-setns.c,setns,main,function
72,v5.6,tools/perf/util,namespaces.c,setns,nsinfo__mountns_enter,function
73,v5.6,tools/perf/util,namespaces.c,setns,nsinfo__mountns_exit,function
74,v5.6,tools/testing/selftests/bpf/prog_tests,flow_dissector_reattach.c,setns,test_flow_dissector_reattach,function
75,v5.6,tools/testing/selftests/bpf/prog_tests,flow_dissector_reattach.c,setns,test_flow_dissector_reattach,function
76,v5.6,tools/testing/selftests/proc,setns-dcache.c,setns,main,function
77,v5.6,tools/testing/selftests/proc,setns-sysvipc.c,setns,main,function
78,v5.6,tools/testing/selftests/timens,clock_nanosleep.c,setns,main,function
79,v5.6,tools/testing/selftests/timens,gettime_perf.c,setns,main,function
80,v5.6,tools/testing/selftests/timens,procfs.c,setns,switch_ns,function
81,v5.6,tools/testing/selftests/timens,timens.c,setns,switch_ns,function
82,v5.7,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
83,v5.7,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
84,v5.7,kernel,nsproxy.c,switch_task_namespaces,setns,function
85,v5.7,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
86,v5.7,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
87,v5.7,kernel,fork.c,ksys_unshare,unshare,function
88,v5.7,kernel,exit.c,exit_task_namespaces,do_exit,function
89,v5.7,kernel,fork.c,exit_task_namespaces,copy_process,function
90,v5.7,arch/x86/kvm,emulate.c,setns,FOP_SETCC,function
91,v5.7,kernel,nsproxy.c,setns,setns,function
92,v5.7,tools/build/feature,test-setns.c,setns,main,function
93,v5.7,tools/perf/util,namespaces.c,setns,nsinfo__mountns_enter,function
94,v5.7,tools/perf/util,namespaces.c,setns,nsinfo__mountns_exit,function
95,v5.7,tools/testing/selftests/bpf/prog_tests,flow_dissector_reattach.c,setns,test_flow_dissector_reattach,function
96,v5.7,tools/testing/selftests/bpf/prog_tests,flow_dissector_reattach.c,setns,test_flow_dissector_reattach,function
97,v5.7,tools/testing/selftests/bpf/prog_tests,sk_assign.c,setns,test_sk_assign,function
98,v5.7,tools/testing/selftests/proc,setns-dcache.c,setns,main,function
99,v5.7,tools/testing/selftests/proc,setns-sysvipc.c,setns,main,function
100,v5.7,tools/testing/selftests/timens,clock_nanosleep.c,setns,main,function
101,v5.7,tools/testing/selftests/timens,gettime_perf.c,setns,main,function
102,v5.7,tools/testing/selftests/timens,procfs.c,setns,switch_ns,function
103,v5.7,tools/testing/selftests/timens,timens.c,setns,switch_ns,function
104,v5.8,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
105,v5.8,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
106,v5.8,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
107,v5.8,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
108,v5.8,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
109,v5.8,kernel,fork.c,ksys_unshare,unshare,function
110,v5.8,kernel,exit.c,exit_task_namespaces,do_exit,function
111,v5.8,kernel,fork.c,exit_task_namespaces,copy_process,function
112,v5.8,kernel,nsproxy.c,commit_nsset,setns,function
113,v5.9,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
114,v5.9,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
115,v5.9,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
116,v5.9,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
117,v5.9,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
118,v5.9,kernel,fork.c,ksys_unshare,unshare,function
119,v5.9,kernel,exit.c,exit_task_namespaces,do_exit,function
120,v5.9,kernel,fork.c,exit_task_namespaces,copy_process,function
121,v5.9,kernel,nsproxy.c,commit_nsset,setns,function
122,v5.10,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
123,v5.10,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
124,v5.10,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
125,v5.10,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
126,v5.10,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
127,v5.10,kernel,fork.c,ksys_unshare,unshare,function
128,v5.10,kernel,exit.c,exit_task_namespaces,do_exit,function
129,v5.10,kernel,fork.c,exit_task_namespaces,copy_process,function
130,v5.10,kernel,nsproxy.c,commit_nsset,setns,function
131,v5.11,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
132,v5.11,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
133,v5.11,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
134,v5.11,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
135,v5.11,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
136,v5.11,kernel,fork.c,ksys_unshare,unshare,function
137,v5.11,kernel,exit.c,exit_task_namespaces,do_exit,function
138,v5.11,kernel,fork.c,exit_task_namespaces,copy_process,function
139,v5.11,kernel,nsproxy.c,commit_nsset,setns,function
140,v5.12,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
141,v5.12,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
142,v5.12,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
143,v5.12,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
144,v5.12,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
145,v5.12,kernel,fork.c,ksys_unshare,unshare,function
146,v5.12,kernel,exit.c,exit_task_namespaces,do_exit,function
147,v5.12,kernel,fork.c,exit_task_namespaces,copy_process,function
148,v5.12,kernel,nsproxy.c,commit_nsset,setns,function
149,v5.13,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
150,v5.13,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
151,v5.13,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
152,v5.13,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
153,v5.13,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
154,v5.13,kernel,fork.c,ksys_unshare,unshare,function
155,v5.13,kernel,exit.c,exit_task_namespaces,do_exit,function
156,v5.13,kernel,fork.c,exit_task_namespaces,copy_process,function
157,v5.13,kernel,nsproxy.c,commit_nsset,setns,function
158,v5.14,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
159,v5.14,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
160,v5.14,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
161,v5.14,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
162,v5.14,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
163,v5.14,kernel,fork.c,ksys_unshare,unshare,function
164,v5.14,kernel,exit.c,exit_task_namespaces,do_exit,function
165,v5.14,kernel,fork.c,exit_task_namespaces,copy_process,function
166,v5.14,kernel,nsproxy.c,commit_nsset,setns,function
167,v5.15,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
168,v5.15,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
169,v5.15,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
170,v5.15,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
171,v5.15,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
172,v5.15,kernel,fork.c,ksys_unshare,unshare,function
173,v5.15,kernel,exit.c,exit_task_namespaces,do_exit,function
174,v5.15,kernel,fork.c,exit_task_namespaces,copy_process,function
175,v5.15,kernel,nsproxy.c,commit_nsset,setns,function
176,v5.16,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
177,v5.16,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
178,v5.16,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
179,v5.16,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
180,v5.16,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
181,v5.16,kernel,fork.c,ksys_unshare,unshare,function
182,v5.16,kernel,exit.c,exit_task_namespaces,do_exit,function
183,v5.16,kernel,fork.c,exit_task_namespaces,copy_process,function
184,v5.16,kernel,nsproxy.c,commit_nsset,setns,function
185,v5.17,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
186,v5.17,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
187,v5.17,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
188,v5.17,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
189,v5.17,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
190,v5.17,kernel,fork.c,ksys_unshare,unshare,function
191,v5.17,kernel,exit.c,exit_task_namespaces,do_exit,function
192,v5.17,kernel,fork.c,exit_task_namespaces,copy_process,function
193,v5.17,kernel,nsproxy.c,commit_nsset,setns,function
194,v5.18,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
195,v5.18,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
196,v5.18,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
197,v5.18,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
198,v5.18,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
199,v5.18,kernel,fork.c,ksys_unshare,unshare,function
200,v5.18,kernel,exit.c,exit_task_namespaces,do_exit,function
201,v5.18,kernel,fork.c,exit_task_namespaces,copy_process,function
202,v5.18,kernel,nsproxy.c,commit_nsset,setns,function
203,v5.19,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
204,v5.19,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
205,v5.19,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
206,v5.19,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
207,v5.19,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
208,v5.19,kernel,fork.c,ksys_unshare,unshare,function
209,v5.19,kernel,exit.c,exit_task_namespaces,do_exit,function
210,v5.19,kernel,fork.c,exit_task_namespaces,copy_process,function
211,v5.19,kernel,nsproxy.c,commit_nsset,setns,function
212,v6.0,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
213,v6.0,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
214,v6.0,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
215,v6.0,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
216,v6.0,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
217,v6.0,kernel,fork.c,ksys_unshare,unshare,function
218,v6.0,kernel,exit.c,exit_task_namespaces,do_exit,function
219,v6.0,kernel,fork.c,exit_task_namespaces,copy_process,function
220,v6.0,kernel,nsproxy.c,commit_nsset,setns,function
221,v6.1,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
222,v6.1,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
223,v6.1,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
224,v6.1,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
225,v6.1,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
226,v6.1,kernel,fork.c,ksys_unshare,unshare,function
227,v6.1,kernel,exit.c,exit_task_namespaces,do_exit,function
228,v6.1,kernel,fork.c,exit_task_namespaces,copy_process,function
229,v6.1,kernel,nsproxy.c,commit_nsset,setns,function
230,v6.2,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
231,v6.2,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
232,v6.2,kernel,nsproxy.c,switch_task_namespaces,exec_task_namespaces,function
233,v6.2,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
234,v6.2,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
235,v6.2,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
236,v6.2,kernel,fork.c,ksys_unshare,unshare,function
237,v6.2,kernel,exit.c,exit_task_namespaces,do_exit,function
238,v6.2,kernel,fork.c,exit_task_namespaces,copy_process,function
239,v6.2,fs,exec.c,exec_task_namespaces,begin_new_exec,function
240,v6.2,kernel,nsproxy.c,commit_nsset,setns,function
241,v6.3,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
242,v6.3,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
243,v6.3,kernel,nsproxy.c,switch_task_namespaces,exec_task_namespaces,function
244,v6.3,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
245,v6.3,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
246,v6.3,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
247,v6.3,kernel,fork.c,ksys_unshare,unshare,function
248,v6.3,kernel,exit.c,exit_task_namespaces,do_exit,function
249,v6.3,kernel,fork.c,exit_task_namespaces,copy_process,function
250,v6.3,fs,exec.c,exec_task_namespaces,begin_new_exec,function
251,v6.3,kernel,nsproxy.c,commit_nsset,setns,function
252,v6.4,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
253,v6.4,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
254,v6.4,kernel,nsproxy.c,switch_task_namespaces,exec_task_namespaces,function
255,v6.4,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
256,v6.4,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
257,v6.4,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
258,v6.4,kernel,fork.c,ksys_unshare,unshare,function
259,v6.4,kernel,exit.c,exit_task_namespaces,do_exit,function
260,v6.4,kernel,fork.c,exit_task_namespaces,copy_process,function
261,v6.4,fs,exec.c,exec_task_namespaces,begin_new_exec,function
262,v6.4,kernel,nsproxy.c,commit_nsset,setns,function
263,v6.5,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
264,v6.5,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
265,v6.5,kernel,nsproxy.c,switch_task_namespaces,exec_task_namespaces,function
266,v6.5,kernel,nsproxy.c,switch_task_namespaces,commit_nsset,function
267,v6.5,drivers/base,devtmpfs.c,ksys_unshare,devtmpfs_setup,function
268,v6.5,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
269,v6.5,kernel,fork.c,ksys_unshare,unshare,function
270,v6.5,kernel,exit.c,exit_task_namespaces,do_exit,function
271,v6.5,kernel,fork.c,exit_task_namespaces,copy_process,function
272,v6.5,fs,exec.c,exec_task_namespaces,begin_new_exec,function
273,v6.5,kernel,nsproxy.c,commit_nsset,setns,function
